Aáhi taria
Bailey leaf
Baillon's dart
Baillon's wrasse
Baird's slickhead
Baird's smooth head
Baird's smooth-head
Baird’s dragonet
Bairdiella
Baiser
Bait goatfish
Baja blenny
Baja California keeltail needlefish
Baja California killifish
Baja California rainbow trout
Bakir shemaya
Bala shark
Bala sharkminnow
Balabac Island silverside
Balahu
Balao
Balao halfbeak
Balaou blanc
Balarton
Balatan
Balbo sabretooth
Balboa anchovy
Balboa goby
Balcan loach
Balcan spined loach
Balck bream
Balck-edged damsel
Bald blenny
Bald glassy
Bald glassy perchlet
Bald notothen
Bald sculpin
Bald-spot monocle bream
Bald-spot spinecheek
Baldchin groper
Baldchin tuskfish
Baldchin wrasse
Baldfish
Baldhead cusk
Baldhead halosaur
Baldwin's major
Baldwin's razorfish
Baldwin's serranid
Baldy
Baleares conger
Balfour's shark
Bali catshark
Bali eelblenny
Bali goby
Bali sardinella
Balinese garfish
Balinese halfbeak
Balinese threadfin
Balinese threadfin bream
Balitora minnow
Balkan Loach
Balkhasch perch
Balkhash marinka
Balkhash minnow
Balkhash Perch
Ball's pipe fish
Ballan wrasse
Ballieu's wrasse
Ballina angelfish
Balloch's rainbowfish
Ballonfish
Balloon porcupinefish
Balloon shark
Balloonfish
Ballyhoo
Ballyhoo halfbeak
Balon's Ruffe
Baloon pufferfish
Baloonfish
Balsas catfish
Balsas livebearer
Balsas molly
Balsas shiner
Balsas silverside
Balsas splitfin
Balston's perchlet
Balston's Pygmy Perch
Baltic flounder
Baltic herring
Baltic sprat
Baltic sturgeon
Baltic vimba
Baltic whitefish
Bamboo shark
Bamboo sole
Bamileke killi
Bamin
Banana
Banana fish
Banana fusilier
Banana grunt
Banana jew
Banana mullet
Banana-fish
Banana-tail ray
Bananafish
Banarescu’s barb
Bancroft's numbfish
Band cusk-eel
Band-dot goatfish
Band-spot cardinalfish
Band-tailed goatfish
Banda cardinalfish
Banda clown blenny
Banda comb-tooth
Banda combtooth-blenny
Banda coralblenny
Banda scorpionfish
Banda wrasse
Bandcheek wrasse
Banded acara
Banded aequidens
Banded allotoca
Banded angelfish
Banded archerfish
Banded astyanax
